"project_code","location","setting","year","mean_age","proportion_male","proportion_republican","proportion_conservative","total_effect_d","variance","n_control","n_status","m_control","m_status","sd_control","sd_status","mf_d","mf_v","vi"
3,"USA","Online",2019,19.3469387755102,0.238095238095238,NA,NA,0.125814179770593,0.0270854405238039,75,73,1.68,1.80821917808219,1.08004003929784,0.952446181719228,0.125166580082309,0.0270848914188652,0.0270854405238039
8,"other","Lab",2019,NA,0.132575757575758,NA,NA,-0.086017315565207,0.0173342217748463,180,85,1.62777777777778,1.55294117647059,0.871847428836157,0.86610626139199,-0.0857717466724474,0.0173341421785259,0.0173342217748463
12,"other","Lab",2019,23.8217821782178,0.386138613861386,NA,NA,-0.213945597190932,0.0476444379922076,71,30,1.64788732394366,1.43333333333333,1.01557290726953,0.971430986184577,-0.212320006690067,0.0476410076292545,0.0476444379922076
13,"other","Lab",2019,21.8789237668161,0.171945701357466,NA,0.116402116402116,0.14662591933711,0.0202281693771031,150,74,1.73333333333333,1.87837837837838,0.980800020437135,1.00618229649139,0.146129909753011,0.0202278452483151,0.0202281693771031
14,"other","Lab",2019,32.0915492957746,0.25531914893617,NA,NA,-0.392814251737104,0.0163777875172289,191,92,2.36125654450262,2.04347826086957,0.794962092539868,0.837487654207982,-0.391764725644309,0.0163763326831148,0.0163777875172289
18,"USA","Online",2019,NA,0.12962962962963,NA,NA,-0.048790119677155,0.037098932809107,56,52,1.39285714285714,1.34615384615385,1.00324149958697,0.904988687712105,-0.0484439538183762,0.0370987769798637,0.037098932809107
4,"USA","Online",2020,19.5121951219512,0.207317073170732,NA,NA,-0.31070167813984,0.0493981551070782,40,42,2.25,1.95238095238095,0.839719122759632,1.05812491660509,-0.3077781877767,0.0493871299855672,0.0493981551070782
5,"USA","Online",2020,22.4172661870504,0.741007194244604,NA,NA,0.139767102022948,0.0295409417018979,71,65,1.22535211267606,1.35384615384615,0.897571057252239,0.942582377546673,0.138983116674442,0.0295401382604003,0.0295409417018979
6,"USA","Lab",2020,NA,NA,NA,0.510204081632653,0.000997462541568969,0.066731148408875,47,22,1.68085106382979,1.68181818181818,0.980381092244976,0.945483682534709,0.000986248077807063,0.0667311482476703,0.066731148408875
7,"other","Online",2020,NA,NA,NA,NA,-0.147401089734268,0.0425881172521365,68,36,1.72058823529412,1.58333333333333,0.911708061340502,0.96732325812744,-0.146314149274253,0.0425865823916702,0.0425881172521365
9,"other","Online",2020,NA,NA,NA,NA,0.156034177022675,0.0392078082021653,68,41,1.89705882352941,2.02439024390244,0.831106183965359,0.790183677319672,0.154937489336734,0.0392062438040131,0.0392078082021653
10,"other","Online",2020,NA,NA,NA,NA,0.0496482428956245,0.0415314077635297,69,37,1.59420289855072,1.64864864864865,1.08896659836031,1.11096095081431,0.0492891954723228,0.0415312402011131,0.0415314077635297
24,"USA","Online",2020,24.2266666666667,0.205479452054795,NA,0.418604651162791,-0.143190422100304,0.0520899547054973,38,39,1.57894736842105,1.43589743589744,1.0560400009666,0.940181163809787,-0.141752925631716,0.0520872949324056,0.0520899547054973
